atoms:
	legal_move(d, 4, 2, 4, 3)
	legal_move(t, 4, 2, 4, 3)
	legal_move(d, 5, 2, 4, 3)
	legal_move(t, 5, 2, 4, 3)
	legal_move(d, 1, 3, 4, 3)
	legal_move(t, 1, 3, 4, 3)
	legal_move(d, 2, 3, 4, 3)
	legal_move(t, 2, 3, 4, 3)
	legal_move(d, 3, 3, 4, 3)
	legal_move(t, 3, 3, 4, 3)
	legal_move(d, 4, 3, 4, 3)
	legal_move(t, 4, 3, 4, 3)
	legal_move(d, 5, 3, 4, 3)
	legal_move(t, 5, 3, 4, 3)
	legal_move(d, 1, 4, 4, 3)
	legal_move(t, 1, 4, 4, 3)
	legal_move(d, 2, 4, 4, 3)
	legal_move(t, 2, 4, 4, 3)
	legal_move(d, 3, 4, 4, 3)
	legal_move(t, 3, 4, 4, 3)
	legal_move(d, 4, 4, 4, 3)
	legal_move(t, 4, 4, 4, 3)
	legal_move(d, 5, 4, 4, 3)
	legal_move(t, 5, 4, 4, 3)
	legal_move(d, 1, 5, 4, 3)
	legal_move(t, 1, 5, 4, 3)
	legal_move(d, 2, 5, 4, 3)
	legal_move(t, 2, 5, 4, 3)
	legal_move(d, 3, 5, 4, 3)
	legal_move(t, 3, 5, 4, 3)
	legal_move(d, 4, 5, 4, 3)
	legal_move(t, 4, 5, 4, 3)
	legal_move(d, 5, 5, 4, 3)
	legal_move(t, 5, 5, 4, 3)
	legal_move(d, 1, 1, 5, 3)
	legal_move(t, 1, 1, 5, 3)
	legal_move(d, 2, 1, 5, 3)
	legal_move(t, 2, 1, 5, 3)
	legal_move(d, 3, 1, 5, 3)
	legal_move(t, 3, 1, 5, 3)
	legal_move(d, 4, 1, 5, 3)
	legal_move(t, 4, 1, 5, 3)
	legal_move(d, 5, 1, 5, 3)
	legal_move(t, 5, 1, 5, 3)
	legal_move(d, 1, 2, 5, 3)
	legal_move(t, 1, 2, 5, 3)
	legal_move(d, 2, 2, 5, 3)
	legal_move(t, 2, 2, 5, 3)
	legal_move(d, 3, 2, 5, 3)
	legal_move(t, 3, 2, 5, 3)
	legal_move(d, 4, 2, 5, 3)
	legal_move(t, 4, 2, 5, 3)
	legal_move(d, 5, 2, 5, 3)
	legal_move(t, 5, 2, 5, 3)
	legal_move(d, 1, 3, 5, 3)
	legal_move(t, 1, 3, 5, 3)
	legal_move(d, 2, 3, 5, 3)
	legal_move(t, 2, 3, 5, 3)
	legal_move(d, 3, 3, 5, 3)
	legal_move(t, 3, 3, 5, 3)
	legal_move(d, 4, 3, 5, 3)
	legal_move(t, 4, 3, 5, 3)
	legal_move(d, 5, 3, 5, 3)
	legal_move(t, 5, 3, 5, 3)
	legal_move(d, 1, 4, 5, 3)
	legal_move(t, 1, 4, 5, 3)
	legal_move(d, 2, 4, 5, 3)
	legal_move(t, 2, 4, 5, 3)
	legal_move(d, 3, 4, 5, 3)
	legal_move(t, 3, 4, 5, 3)
	legal_move(d, 4, 4, 5, 3)
	legal_move(t, 4, 4, 5, 3)
	legal_move(d, 5, 4, 5, 3)
	legal_move(t, 5, 4, 5, 3)
	legal_move(d, 1, 5, 5, 3)
	legal_move(t, 1, 5, 5, 3)
	legal_move(d, 2, 5, 5, 3)
	legal_move(t, 2, 5, 5, 3)
	legal_move(d, 3, 5, 5, 3)
	legal_move(t, 3, 5, 5, 3)
	legal_move(d, 4, 5, 5, 3)
	legal_move(t, 4, 5, 5, 3)
	legal_move(d, 5, 5, 5, 3)
	legal_move(t, 5, 5, 5, 3)
	legal_move(d, 1, 1, 1, 4)
	legal_move(t, 1, 1, 1, 4)
	legal_move(d, 2, 1, 1, 4)
	legal_move(t, 2, 1, 1, 4)
	legal_move(d, 3, 1, 1, 4)
	legal_move(t, 3, 1, 1, 4)
	legal_move(d, 4, 1, 1, 4)
	legal_move(t, 4, 1, 1, 4)
	legal_move(d, 5, 1, 1, 4)
	legal_move(t, 5, 1, 1, 4)
	legal_move(d, 1, 2, 1, 4)
	legal_move(t, 1, 2, 1, 4)
	legal_move(d, 2, 2, 1, 4)
	legal_move(t, 2, 2, 1, 4)
	legal_move(d, 3, 2, 1, 4)
	legal_move(t, 3, 2, 1, 4)
	legal_move(d, 4, 2, 1, 4)
	legal_move(t, 4, 2, 1, 4)
	legal_move(d, 5, 2, 1, 4)
	legal_move(t, 5, 2, 1, 4)
	legal_move(d, 1, 3, 1, 4)
	legal_move(t, 1, 3, 1, 4)
	legal_move(d, 2, 3, 1, 4)
	legal_move(t, 2, 3, 1, 4)
	legal_move(d, 3, 3, 1, 4)
	legal_move(t, 3, 3, 1, 4)
	legal_move(d, 4, 3, 1, 4)
	legal_move(t, 4, 3, 1, 4)
	legal_move(d, 5, 3, 1, 4)
	legal_move(t, 5, 3, 1, 4)
	legal_move(d, 1, 4, 1, 4)
	legal_move(t, 1, 4, 1, 4)
	legal_move(d, 2, 4, 1, 4)
	legal_move(t, 2, 4, 1, 4)
	legal_move(d, 3, 4, 1, 4)
	legal_move(t, 3, 4, 1, 4)
	legal_move(d, 4, 4, 1, 4)
	legal_move(t, 4, 4, 1, 4)
	legal_move(d, 5, 4, 1, 4)
	legal_move(t, 5, 4, 1, 4)
	legal_move(d, 1, 5, 1, 4)
	legal_move(t, 1, 5, 1, 4)
	legal_move(d, 2, 5, 1, 4)
	legal_move(t, 2, 5, 1, 4)
	legal_move(d, 3, 5, 1, 4)
	legal_move(t, 3, 5, 1, 4)
	legal_move(d, 4, 5, 1, 4)
	legal_move(t, 4, 5, 1, 4)
	legal_move(d, 5, 5, 1, 4)
	legal_move(t, 5, 5, 1, 4)
	legal_move(d, 1, 1, 2, 4)
	legal_move(t, 1, 1, 2, 4)
	legal_move(d, 2, 1, 2, 4)
	legal_move(t, 2, 1, 2, 4)
	legal_move(d, 3, 1, 2, 4)
	legal_move(t, 3, 1, 2, 4)
	legal_move(d, 4, 1, 2, 4)
	legal_move(t, 4, 1, 2, 4)
	legal_move(d, 5, 1, 2, 4)
	legal_move(t, 5, 1, 2, 4)
	legal_move(d, 1, 2, 2, 4)
	legal_move(t, 1, 2, 2, 4)
	legal_move(d, 2, 2, 2, 4)
	legal_move(t, 2, 2, 2, 4)
	legal_move(d, 3, 2, 2, 4)
	legal_move(t, 3, 2, 2, 4)
	legal_move(d, 4, 2, 2, 4)
	legal_move(t, 4, 2, 2, 4)
	legal_move(d, 5, 2, 2, 4)
	legal_move(t, 5, 2, 2, 4)
	legal_move(d, 1, 3, 2, 4)
	legal_move(t, 1, 3, 2, 4)
	legal_move(d, 2, 3, 2, 4)
	legal_move(t, 2, 3, 2, 4)
	legal_move(d, 3, 3, 2, 4)
	legal_move(t, 3, 3, 2, 4)
	legal_move(d, 4, 3, 2, 4)
	legal_move(t, 4, 3, 2, 4)
	legal_move(d, 5, 3, 2, 4)
	legal_move(t, 5, 3, 2, 4)
	legal_move(d, 1, 4, 2, 4)
	legal_move(t, 1, 4, 2, 4)
	legal_move(d, 2, 4, 2, 4)
	legal_move(t, 2, 4, 2, 4)
	legal_move(d, 3, 4, 2, 4)
	legal_move(t, 3, 4, 2, 4)
	legal_move(d, 4, 4, 2, 4)
	legal_move(t, 4, 4, 2, 4)
	legal_move(d, 5, 4, 2, 4)
	legal_move(t, 5, 4, 2, 4)
	legal_move(d, 1, 5, 2, 4)
	legal_move(t, 1, 5, 2, 4)
	legal_move(d, 2, 5, 2, 4)
	legal_move(t, 2, 5, 2, 4)
	legal_move(d, 3, 5, 2, 4)
	legal_move(t, 3, 5, 2, 4)
	legal_move(d, 4, 5, 2, 4)
	legal_move(t, 4, 5, 2, 4)
	legal_move(d, 5, 5, 2, 4)
	legal_move(t, 5, 5, 2, 4)
	legal_move(d, 1, 1, 3, 4)
	legal_move(t, 1, 1, 3, 4)
	legal_move(d, 2, 1, 3, 4)
	legal_move(t, 2, 1, 3, 4)
	legal_move(d, 3, 1, 3, 4)
	legal_move(t, 3, 1, 3, 4)
	legal_move(d, 4, 1, 3, 4)
	legal_move(t, 4, 1, 3, 4)
	legal_move(d, 5, 1, 3, 4)
	legal_move(t, 5, 1, 3, 4)
	legal_move(d, 1, 2, 3, 4)
	legal_move(t, 1, 2, 3, 4)
	legal_move(d, 2, 2, 3, 4)
	legal_move(t, 2, 2, 3, 4)
	legal_move(d, 3, 2, 3, 4)
	legal_move(t, 3, 2, 3, 4)
	legal_move(d, 4, 2, 3, 4)
	legal_move(t, 4, 2, 3, 4)
	legal_move(d, 5, 2, 3, 4)
	legal_move(t, 5, 2, 3, 4)
	legal_move(d, 1, 3, 3, 4)
	legal_move(t, 1, 3, 3, 4)
	legal_move(d, 2, 3, 3, 4)
	legal_move(t, 2, 3, 3, 4)
	legal_move(d, 3, 3, 3, 4)
	legal_move(t, 3, 3, 3, 4)
	legal_move(d, 4, 3, 3, 4)
	legal_move(t, 4, 3, 3, 4)
	legal_move(d, 5, 3, 3, 4)
	legal_move(t, 5, 3, 3, 4)
	legal_move(d, 1, 4, 3, 4)
	legal_move(t, 1, 4, 3, 4)
	legal_move(d, 2, 4, 3, 4)
	legal_move(t, 2, 4, 3, 4)
	legal_move(d, 3, 4, 3, 4)
	legal_move(t, 3, 4, 3, 4)
	legal_move(d, 4, 4, 3, 4)
	legal_move(t, 4, 4, 3, 4)
	legal_move(d, 5, 4, 3, 4)
	legal_move(t, 5, 4, 3, 4)
	legal_move(d, 1, 5, 3, 4)
	legal_move(t, 1, 5, 3, 4)
	legal_move(d, 2, 5, 3, 4)
	legal_move(t, 2, 5, 3, 4)
	legal_move(d, 3, 5, 3, 4)
	legal_move(t, 3, 5, 3, 4)
	legal_move(d, 4, 5, 3, 4)
	legal_move(t, 4, 5, 3, 4)
	legal_move(d, 5, 5, 3, 4)
	legal_move(t, 5, 5, 3, 4)
	legal_move(d, 1, 1, 4, 4)
	legal_move(t, 1, 1, 4, 4)
	legal_move(d, 2, 1, 4, 4)
	legal_move(t, 2, 1, 4, 4)
	legal_move(d, 3, 1, 4, 4)
	legal_move(t, 3, 1, 4, 4)
	legal_move(d, 4, 1, 4, 4)
	legal_move(t, 4, 1, 4, 4)
	legal_move(d, 5, 1, 4, 4)
	legal_move(t, 5, 1, 4, 4)
	legal_move(d, 1, 2, 4, 4)
	legal_move(t, 1, 2, 4, 4)
	legal_move(d, 2, 2, 4, 4)
	legal_move(t, 2, 2, 4, 4)
	legal_move(d, 3, 2, 4, 4)
	legal_move(t, 3, 2, 4, 4)
	legal_move(d, 4, 2, 4, 4)
	legal_move(t, 4, 2, 4, 4)
	legal_move(d, 5, 2, 4, 4)
	legal_move(t, 5, 2, 4, 4)
	legal_move(d, 1, 3, 4, 4)
	legal_move(t, 1, 3, 4, 4)
	legal_move(d, 2, 3, 4, 4)
	legal_move(t, 2, 3, 4, 4)
	legal_move(d, 3, 3, 4, 4)
	legal_move(t, 3, 3, 4, 4)
	legal_move(d, 4, 3, 4, 4)
	legal_move(t, 4, 3, 4, 4)
	legal_move(d, 5, 3, 4, 4)
	legal_move(t, 5, 3, 4, 4)
	legal_move(d, 1, 4, 4, 4)
	legal_move(t, 1, 4, 4, 4)
	legal_move(d, 2, 4, 4, 4)
	legal_move(t, 2, 4, 4, 4)
	legal_move(d, 3, 4, 4, 4)
	legal_move(t, 3, 4, 4, 4)
	legal_move(d, 4, 4, 4, 4)
	legal_move(t, 4, 4, 4, 4)
	legal_move(d, 5, 4, 4, 4)
	legal_move(t, 5, 4, 4, 4)
	legal_move(d, 1, 5, 4, 4)
	legal_move(t, 1, 5, 4, 4)
	legal_move(d, 2, 5, 4, 4)
	legal_move(t, 2, 5, 4, 4)
	legal_move(d, 3, 5, 4, 4)
	legal_move(t, 3, 5, 4, 4)
	legal_move(d, 4, 5, 4, 4)
	legal_move(t, 4, 5, 4, 4)
	legal_move(d, 5, 5, 4, 4)
	legal_move(t, 5, 5, 4, 4)
	legal_move(d, 1, 1, 5, 4)
	legal_move(t, 1, 1, 5, 4)
	legal_move(d, 2, 1, 5, 4)
	legal_move(t, 2, 1, 5, 4)
	legal_move(d, 3, 1, 5, 4)
	legal_move(t, 3, 1, 5, 4)
	legal_move(d, 4, 1, 5, 4)
	legal_move(t, 4, 1, 5, 4)
	legal_move(d, 5, 1, 5, 4)
	legal_move(t, 5, 1, 5, 4)
	legal_move(d, 1, 2, 5, 4)
	legal_move(t, 1, 2, 5, 4)
	legal_move(d, 2, 2, 5, 4)
	legal_move(t, 2, 2, 5, 4)
	legal_move(d, 3, 2, 5, 4)
	legal_move(t, 3, 2, 5, 4)
	legal_move(d, 4, 2, 5, 4)
	legal_move(t, 4, 2, 5, 4)
	legal_move(d, 5, 2, 5, 4)
	legal_move(t, 5, 2, 5, 4)
	legal_move(d, 1, 3, 5, 4)
	legal_move(t, 1, 3, 5, 4)
	legal_move(d, 2, 3, 5, 4)
	legal_move(t, 2, 3, 5, 4)
	legal_move(d, 3, 3, 5, 4)
	legal_move(t, 3, 3, 5, 4)
	legal_move(d, 4, 3, 5, 4)
	legal_move(t, 4, 3, 5, 4)
	legal_move(d, 5, 3, 5, 4)
	legal_move(t, 5, 3, 5, 4)
	legal_move(d, 1, 4, 5, 4)
	legal_move(t, 1, 4, 5, 4)
	legal_move(d, 2, 4, 5, 4)
	legal_move(t, 2, 4, 5, 4)
	legal_move(d, 3, 4, 5, 4)
	legal_move(t, 3, 4, 5, 4)
	legal_move(d, 4, 4, 5, 4)
	legal_move(t, 4, 4, 5, 4)
	legal_move(d, 5, 4, 5, 4)
	legal_move(t, 5, 4, 5, 4)
	legal_move(d, 1, 5, 5, 4)
	legal_move(t, 1, 5, 5, 4)
	legal_move(d, 2, 5, 5, 4)
	legal_move(t, 2, 5, 5, 4)
	legal_move(d, 3, 5, 5, 4)
	legal_move(t, 3, 5, 5, 4)
	legal_move(d, 4, 5, 5, 4)
	legal_move(t, 4, 5, 5, 4)
	legal_move(d, 5, 5, 5, 4)
	legal_move(t, 5, 5, 5, 4)
	legal_move(d, 1, 1, 1, 5)
	legal_move(t, 1, 1, 1, 5)
	legal_move(d, 2, 1, 1, 5)
	legal_move(t, 2, 1, 1, 5)
	legal_move(d, 3, 1, 1, 5)
	legal_move(t, 3, 1, 1, 5)
	legal_move(d, 4, 1, 1, 5)
	legal_move(t, 4, 1, 1, 5)
	legal_move(d, 5, 1, 1, 5)
	legal_move(t, 5, 1, 1, 5)
	legal_move(d, 1, 2, 1, 5)
	legal_move(t, 1, 2, 1, 5)
	legal_move(d, 2, 2, 1, 5)
	legal_move(t, 2, 2, 1, 5)
	legal_move(d, 3, 2, 1, 5)
	legal_move(t, 3, 2, 1, 5)
	legal_move(d, 4, 2, 1, 5)
	legal_move(t, 4, 2, 1, 5)
	legal_move(d, 5, 2, 1, 5)
	legal_move(t, 5, 2, 1, 5)
	legal_move(d, 1, 3, 1, 5)
	legal_move(t, 1, 3, 1, 5)
	legal_move(d, 2, 3, 1, 5)
	legal_move(t, 2, 3, 1, 5)
	legal_move(d, 3, 3, 1, 5)
	legal_move(t, 3, 3, 1, 5)
	legal_move(d, 4, 3, 1, 5)
	legal_move(t, 4, 3, 1, 5)
	legal_move(d, 5, 3, 1, 5)
	legal_move(t, 5, 3, 1, 5)
	legal_move(d, 1, 4, 1, 5)
	legal_move(t, 1, 4, 1, 5)
	legal_move(d, 2, 4, 1, 5)
	legal_move(t, 2, 4, 1, 5)
	legal_move(d, 3, 4, 1, 5)
	legal_move(t, 3, 4, 1, 5)
	legal_move(d, 4, 4, 1, 5)
	legal_move(t, 4, 4, 1, 5)
	legal_move(d, 5, 4, 1, 5)
	legal_move(t, 5, 4, 1, 5)
	legal_move(d, 1, 5, 1, 5)
	legal_move(t, 1, 5, 1, 5)
	legal_move(d, 2, 5, 1, 5)
	legal_move(t, 2, 5, 1, 5)
	legal_move(d, 3, 5, 1, 5)
	legal_move(t, 3, 5, 1, 5)
	legal_move(d, 4, 5, 1, 5)
	legal_move(t, 4, 5, 1, 5)
	legal_move(d, 5, 5, 1, 5)
	legal_move(t, 5, 5, 1, 5)
	legal_move(d, 1, 1, 2, 5)
	legal_move(t, 1, 1, 2, 5)
	legal_move(d, 2, 1, 2, 5)
	legal_move(t, 2, 1, 2, 5)
	legal_move(d, 3, 1, 2, 5)
	legal_move(t, 3, 1, 2, 5)
	legal_move(d, 4, 1, 2, 5)
	legal_move(t, 4, 1, 2, 5)
	legal_move(d, 5, 1, 2, 5)
	legal_move(t, 5, 1, 2, 5)
	legal_move(d, 1, 2, 2, 5)
	legal_move(t, 1, 2, 2, 5)
	legal_move(d, 2, 2, 2, 5)
	legal_move(t, 2, 2, 2, 5)
	legal_move(d, 3, 2, 2, 5)
	legal_move(t, 3, 2, 2, 5)
	legal_move(d, 4, 2, 2, 5)
	legal_move(t, 4, 2, 2, 5)
	legal_move(d, 5, 2, 2, 5)
	legal_move(t, 5, 2, 2, 5)
	legal_move(d, 1, 3, 2, 5)
	legal_move(t, 1, 3, 2, 5)
	legal_move(d, 2, 3, 2, 5)
	legal_move(t, 2, 3, 2, 5)
	legal_move(d, 3, 3, 2, 5)
	legal_move(t, 3, 3, 2, 5)
	legal_move(d, 4, 3, 2, 5)
	legal_move(t, 4, 3, 2, 5)
	legal_move(d, 5, 3, 2, 5)
	legal_move(t, 5, 3, 2, 5)
	legal_move(d, 1, 4, 2, 5)
	legal_move(t, 1, 4, 2, 5)
	legal_move(d, 2, 4, 2, 5)
	legal_move(t, 2, 4, 2, 5)
	legal_move(d, 3, 4, 2, 5)
	legal_move(t, 3, 4, 2, 5)
	legal_move(d, 4, 4, 2, 5)
	legal_move(t, 4, 4, 2, 5)
	legal_move(d, 5, 4, 2, 5)
	legal_move(t, 5, 4, 2, 5)
	legal_move(d, 1, 5, 2, 5)
	legal_move(t, 1, 5, 2, 5)
	legal_move(d, 2, 5, 2, 5)
	legal_move(t, 2, 5, 2, 5)
	legal_move(d, 3, 5, 2, 5)
	legal_move(t, 3, 5, 2, 5)
	legal_move(d, 4, 5, 2, 5)
	legal_move(t, 4, 5, 2, 5)
	legal_move(d, 5, 5, 2, 5)
	legal_move(t, 5, 5, 2, 5)
	legal_move(d, 1, 1, 3, 5)
	legal_move(t, 1, 1, 3, 5)
	legal_move(d, 2, 1, 3, 5)
	legal_move(t, 2, 1, 3, 5)
	legal_move(d, 3, 1, 3, 5)
	legal_move(t, 3, 1, 3, 5)
	legal_move(d, 4, 1, 3, 5)
	legal_move(t, 4, 1, 3, 5)
	legal_move(d, 5, 1, 3, 5)
	legal_move(t, 5, 1, 3, 5)
	legal_move(d, 1, 2, 3, 5)
	legal_move(t, 1, 2, 3, 5)
	legal_move(d, 2, 2, 3, 5)
	legal_move(t, 2, 2, 3, 5)
	legal_move(d, 3, 2, 3, 5)
	legal_move(t, 3, 2, 3, 5)
	legal_move(d, 4, 2, 3, 5)
	legal_move(t, 4, 2, 3, 5)
	legal_move(d, 5, 2, 3, 5)
	legal_move(t, 5, 2, 3, 5)
	legal_move(d, 1, 3, 3, 5)
	legal_move(t, 1, 3, 3, 5)
	legal_move(d, 2, 3, 3, 5)
	legal_move(t, 2, 3, 3, 5)
	legal_move(d, 3, 3, 3, 5)
	legal_move(t, 3, 3, 3, 5)
	legal_move(d, 4, 3, 3, 5)
	legal_move(t, 4, 3, 3, 5)
	legal_move(d, 5, 3, 3, 5)
	legal_move(t, 5, 3, 3, 5)
	legal_move(d, 1, 4, 3, 5)
	legal_move(t, 1, 4, 3, 5)
	legal_move(d, 2, 4, 3, 5)
	legal_move(t, 2, 4, 3, 5)
	legal_move(d, 3, 4, 3, 5)
	legal_move(t, 3, 4, 3, 5)
	legal_move(d, 4, 4, 3, 5)
	legal_move(t, 4, 4, 3, 5)
	legal_move(d, 5, 4, 3, 5)
	legal_move(t, 5, 4, 3, 5)
	legal_move(d, 1, 5, 3, 5)
	legal_move(t, 1, 5, 3, 5)
	legal_move(d, 2, 5, 3, 5)
	legal_move(t, 2, 5, 3, 5)
	legal_move(d, 3, 5, 3, 5)
	legal_move(t, 3, 5, 3, 5)
	legal_move(d, 4, 5, 3, 5)
	legal_move(t, 4, 5, 3, 5)
	legal_move(d, 5, 5, 3, 5)
	legal_move(t, 5, 5, 3, 5)
	legal_move(d, 1, 1, 4, 5)
	legal_move(t, 1, 1, 4, 5)
	legal_move(d, 2, 1, 4, 5)
	legal_move(t, 2, 1, 4, 5)
	legal_move(d, 3, 1, 4, 5)
	legal_move(t, 3, 1, 4, 5)
	legal_move(d, 4, 1, 4, 5)
	legal_move(t, 4, 1, 4, 5)
	legal_move(d, 5, 1, 4, 5)
	legal_move(t, 5, 1, 4, 5)
	legal_move(d, 1, 2, 4, 5)
	legal_move(t, 1, 2, 4, 5)
	legal_move(d, 2, 2, 4, 5)
	legal_move(t, 2, 2, 4, 5)
	legal_move(d, 3, 2, 4, 5)
	legal_move(t, 3, 2, 4, 5)
	legal_move(d, 4, 2, 4, 5)
	legal_move(t, 4, 2, 4, 5)
	legal_move(d, 5, 2, 4, 5)
	legal_move(t, 5, 2, 4, 5)
	legal_move(d, 1, 3, 4, 5)
	legal_move(t, 1, 3, 4, 5)
	legal_move(d, 2, 3, 4, 5)
	legal_move(t, 2, 3, 4, 5)
	legal_move(d, 3, 3, 4, 5)
	legal_move(t, 3, 3, 4, 5)
	legal_move(d, 4, 3, 4, 5)
	legal_move(t, 4, 3, 4, 5)
	legal_move(d, 5, 3, 4, 5)
	legal_move(t, 5, 3, 4, 5)
	legal_move(d, 1, 4, 4, 5)
	legal_move(t, 1, 4, 4, 5)
	legal_move(d, 2, 4, 4, 5)
	legal_move(t, 2, 4, 4, 5)
	legal_move(d, 3, 4, 4, 5)
	legal_move(t, 3, 4, 4, 5)
	legal_move(d, 4, 4, 4, 5)
	legal_move(t, 4, 4, 4, 5)
	legal_move(d, 5, 4, 4, 5)
	legal_move(t, 5, 4, 4, 5)
	legal_move(d, 1, 5, 4, 5)
	legal_move(t, 1, 5, 4, 5)
	legal_move(d, 2, 5, 4, 5)
	legal_move(t, 2, 5, 4, 5)
	legal_move(d, 3, 5, 4, 5)
	legal_move(t, 3, 5, 4, 5)
	legal_move(d, 4, 5, 4, 5)
	legal_move(t, 4, 5, 4, 5)
	legal_move(d, 5, 5, 4, 5)
	legal_move(t, 5, 5, 4, 5)
	legal_move(d, 1, 1, 5, 5)
	legal_move(t, 1, 1, 5, 5)
	legal_move(d, 2, 1, 5, 5)
	legal_move(t, 2, 1, 5, 5)
	legal_move(d, 3, 1, 5, 5)
	legal_move(t, 3, 1, 5, 5)
	legal_move(d, 4, 1, 5, 5)
	legal_move(t, 4, 1, 5, 5)
	legal_move(d, 5, 1, 5, 5)
	legal_move(t, 5, 1, 5, 5)
	legal_move(d, 1, 2, 5, 5)
	legal_move(t, 1, 2, 5, 5)
	legal_move(d, 2, 2, 5, 5)
	legal_move(t, 2, 2, 5, 5)
	legal_move(d, 3, 2, 5, 5)
	legal_move(t, 3, 2, 5, 5)
	legal_move(d, 4, 2, 5, 5)
	legal_move(t, 4, 2, 5, 5)
	legal_move(d, 5, 2, 5, 5)
	legal_move(t, 5, 2, 5, 5)
	legal_move(d, 1, 3, 5, 5)
	legal_move(t, 1, 3, 5, 5)
	legal_move(d, 2, 3, 5, 5)
	legal_move(t, 2, 3, 5, 5)
	legal_move(d, 3, 3, 5, 5)
	legal_move(t, 3, 3, 5, 5)
	legal_move(d, 4, 3, 5, 5)
	legal_move(t, 4, 3, 5, 5)
	legal_move(d, 5, 3, 5, 5)
	legal_move(t, 5, 3, 5, 5)
	legal_move(d, 1, 4, 5, 5)
	legal_move(t, 1, 4, 5, 5)
	legal_move(d, 2, 4, 5, 5)
	legal_move(t, 2, 4, 5, 5)
	legal_move(d, 3, 4, 5, 5)
	legal_move(t, 3, 4, 5, 5)
	legal_move(d, 4, 4, 5, 5)
	legal_move(t, 4, 4, 5, 5)
	legal_move(d, 5, 4, 5, 5)
	legal_move(t, 5, 4, 5, 5)
	legal_move(d, 1, 5, 5, 5)
	legal_move(t, 1, 5, 5, 5)
	legal_move(d, 2, 5, 5, 5)
	legal_move(t, 2, 5, 5, 5)
	legal_move(d, 3, 5, 5, 5)
	legal_move(t, 3, 5, 5, 5)
	legal_move(d, 4, 5, 5, 5)
	legal_move(t, 4, 5, 5, 5)
	legal_move(d, 5, 5, 5, 5)
	legal_move(t, 5, 5, 5, 5)
	legal(d, noop)
	legal(t, noop)

---

statics:
	cell(1, 1)
	cell(1, 2)
	cell(1, 3)
	cell(1, 4)
	cell(1, 5)
	cell(2, 1)
	cell(2, 2)
	cell(2, 3)
	cell(2, 4)
	cell(2, 5)
	cell(3, 1)
	cell(3, 2)
	cell(3, 3)
	cell(3, 4)
	cell(3, 5)
	cell(4, 1)
	cell(4, 2)
	cell(4, 3)
	cell(4, 4)
	cell(4, 5)
	cell(5, 1)
	cell(5, 2)
	cell(5, 3)
	cell(5, 4)
	cell(5, 5)
	distinctCell(1, 1, 1, 2)
	distinctCell(1, 1, 1, 3)
	distinctCell(1, 1, 1, 4)
	distinctCell(1, 1, 1, 5)
	distinctCell(1, 1, 2, 1)
	distinctCell(1, 1, 2, 2)
	distinctCell(1, 1, 2, 3)
	distinctCell(1, 1, 2, 4)
	distinctCell(1, 1, 2, 5)
	distinctCell(1, 1, 3, 1)
	distinctCell(1, 1, 3, 2)
	distinctCell(1, 1, 3, 3)
	distinctCell(1, 1, 3, 4)
	distinctCell(1, 1, 3, 5)
	distinctCell(1, 1, 4, 1)
	distinctCell(1, 1, 4, 2)
	distinctCell(1, 1, 4, 3)
	distinctCell(1, 1, 4, 4)
	distinctCell(1, 1, 4, 5)
	distinctCell(1, 1, 5, 1)
	distinctCell(1, 1, 5, 2)
	distinctCell(1, 1, 5, 3)
	distinctCell(1, 1, 5, 4)
	distinctCell(1, 1, 5, 5)
	distinctCell(1, 2, 1, 1)
	distinctCell(1, 2, 1, 3)
	distinctCell(1, 2, 1, 4)
	distinctCell(1, 2, 1, 5)
	distinctCell(1, 2, 2, 1)
	distinctCell(1, 2, 2, 2)
	distinctCell(1, 2, 2, 3)
	distinctCell(1, 2, 2, 4)
	distinctCell(1, 2, 2, 5)
	distinctCell(1, 2, 3, 1)
	distinctCell(1, 2, 3, 2)
	distinctCell(1, 2, 3, 3)
	distinctCell(1, 2, 3, 4)
	distinctCell(1, 2, 3, 5)
	distinctCell(1, 2, 4, 1)
	distinctCell(1, 2, 4, 2)
	distinctCell(1, 2, 4, 3)
	distinctCell(1, 2, 4, 4)
	distinctCell(1, 2, 4, 5)
	distinctCell(1, 2, 5, 1)
	distinctCell(1, 2, 5, 2)
	distinctCell(1, 2, 5, 3)
	distinctCell(1, 2, 5, 4)
	distinctCell(1, 2, 5, 5)
	distinctCell(1, 3, 1, 1)
	distinctCell(1, 3, 1, 2)
	distinctCell(1, 3, 1, 4)
	distinctCell(1, 3, 1, 5)
	distinctCell(1, 3, 2, 1)
	distinctCell(1, 3, 2, 2)
	distinctCell(1, 3, 2, 3)
	distinctCell(1, 3, 2, 4)
	distinctCell(1, 3, 2, 5)
	distinctCell(1, 3, 3, 1)
	distinctCell(1, 3, 3, 2)
	distinctCell(1, 3, 3, 3)
	distinctCell(1, 3, 3, 4)
	distinctCell(1, 3, 3, 5)
	distinctCell(1, 3, 4, 1)
	distinctCell(1, 3, 4, 2)
	distinctCell(1, 3, 4, 3)
	distinctCell(1, 3, 4, 4)
	distinctCell(1, 3, 4, 5)
	distinctCell(1, 3, 5, 1)
	distinctCell(1, 3, 5, 2)
	distinctCell(1, 3, 5, 3)
	distinctCell(1, 3, 5, 4)
	distinctCell(1, 3, 5, 5)
	distinctCell(1, 4, 1, 1)
	distinctCell(1, 4, 1, 2)
	distinctCell(1, 4, 1, 3)
	distinctCell(1, 4, 1, 5)
